Subjects,lag_2,lag_3,lag_5,lag_7,shortLag,longLag
3,0.458333333,0.541666667,0.75,0.875,0.5,0.645833334
4,1,1,0.958333333,1,1,0.979166667
5,0.666666667,0.708333333,0.916666667,0.958333333,0.6875,0.8125
9,0.375,0.375,0.833333333,0.875,0.375,0.604166667
10,0.041666667,0.083333333,0.375,0.666666667,0.0625,0.229166667
11,0.583333333,0.666666667,0.916666667,0.833333333,0.625,0.791666667
14,0.625,0.75,0.833333333,0.916666667,0.6875,0.791666667
15,0.791666667,0.75,0.875,0.958333333,0.770833334,0.8125
16,0.5,0.708333333,0.791666667,0.916666667,0.604166667,0.75
18,0.791666667,0.666666667,0.791666667,0.916666667,0.729166667,0.729166667
19,0.041666667,0.291666667,0.708333333,0.791666667,0.166666667,0.5
22,0.541666667,0.75,0.791666667,0.791666667,0.645833334,0.770833334
23,0.5,0.291666667,0.666666667,0.958333333,0.395833334,0.479166667
24,0.416666667,0.291666667,0.666666667,0.625,0.354166667,0.479166667
25,0.708333333,0.833333333,0.75,0.875,0.770833333,0.791666667
26,0.333333333,0.416666667,0.791666667,0.875,0.375,0.604166667
28,0.875,0.666666667,0.916666667,0.833333333,0.770833334,0.791666667
29,0.666666667,0.583333333,0.625,0.833333333,0.625,0.604166667
31,0.458333333,0.541666667,0.708333333,0.75,0.5,0.625
37,0.5,0.666666667,0.958333333,0.916666667,0.583333334,0.8125
38,0.208333333,0.5,0.75,0.916666667,0.354166667,0.625
40,0.375,0.5,0.541666667,0.791666667,0.4375,0.520833334
43,0.416666667,0.666666667,0.916666667,1,0.541666667,0.791666667
44,0.5,0.708333333,0.875,0.916666667,0.604166667,0.791666667
45,0.791666667,1,0.875,1,0.895833334,0.9375
46,0.458333333,0.875,1,1,0.666666667,0.9375
47,0.916666667,0.833333333,0.875,0.958333333,0.875,0.854166667
48,0.958333333,0.916666667,0.958333333,1,0.9375,0.9375
49,0.583333333,0.708333333,0.875,0.916666667,0.645833333,0.791666667
50,0.625,0.458333333,0.875,0.833333333,0.541666667,0.666666667
52,0.708333333,0.875,0.916666667,0.833333333,0.791666667,0.895833334
55,0.416666667,0.458333333,0.666666667,0.791666667,0.4375,0.5625
56,0.583333333,0.75,0.75,0.791666667,0.666666667,0.75
57,0.791666667,0.75,1,0.833333333,0.770833334,0.875
59,0.791666667,0.833333333,0.958333333,0.833333333,0.8125,0.895833333
61,0.458333333,0.333333333,0.291666667,0.5,0.395833333,0.3125
62,0.791666667,0.708333333,0.916666667,0.916666667,0.75,0.8125
63,0.541666667,0.75,0.875,1,0.645833334,0.8125
64,0.75,0.916666667,0.958333333,1,0.833333334,0.9375
65,0.083333333,0.083333333,0.375,0.708333333,0.083333333,0.229166667
66,0.583333333,0.625,0.958333333,0.875,0.604166667,0.791666667
67,0.791666667,0.875,1,0.958333333,0.833333334,0.9375
68,0.416666667,0.708333333,0.75,0.791666667,0.5625,0.729166667
69,0.708333333,0.666666667,0.625,0.875,0.6875,0.645833334
71,0.5,0.708333333,0.916666667,0.75,0.604166667,0.8125
72,0.5,0.708333333,0.833333333,0.916666667,0.604166667,0.770833333
73,0.583333333,0.916666667,0.875,0.958333333,0.75,0.895833334
76,0.916666667,0.833333333,1,0.958333333,0.875,0.916666667
77,0.541666667,0.416666667,0.916666667,1,0.479166667,0.666666667
78,0.541666667,0.541666667,0.791666667,0.875,0.541666667,0.666666667
81,0.791666667,0.625,0.916666667,0.916666667,0.708333334,0.770833334
82,0.75,0.666666667,0.875,0.916666667,0.708333334,0.770833334
83,0.208333333,0.375,0.833333333,0.916666667,0.291666667,0.604166667
84,0.291666667,0.416666667,0.916666667,0.958333333,0.354166667,0.666666667
85,0.708333333,0.916666667,0.833333333,0.958333333,0.8125,0.875
86,0.75,0.625,1,0.875,0.6875,0.8125
87,0.666666667,0.708333333,0.666666667,0.916666667,0.6875,0.6875
88,0.333333333,0.708333333,0.708333333,0.916666667,0.520833333,0.708333333
89,0.541666667,0.541666667,0.916666667,0.958333333,0.541666667,0.729166667
91,0.208333333,0.125,0.375,0.875,0.166666667,0.25
92,0.541666667,0.625,0.75,0.833333333,0.583333334,0.6875
93,0.583333333,0.625,0.833333333,0.833333333,0.604166667,0.729166667
94,0.75,0.875,0.875,0.958333333,0.8125,0.875
95,0.708333333,0.583333333,0.833333333,0.958333333,0.645833333,0.708333333
96,0.5,0.333333333,0.708333333,0.833333333,0.416666667,0.520833333
97,0.666666667,0.791666667,0.875,1,0.729166667,0.833333334
99,0.291666667,0.833333333,0.916666667,0.875,0.5625,0.875
100,0.208333333,0.041666667,0.25,0.666666667,0.125,0.145833334
102,0.541666667,0.583333333,0.875,0.833333333,0.5625,0.729166667
103,0.375,0.75,0.875,0.833333333,0.5625,0.8125
105,0.208333333,0.541666667,0.75,0.958333333,0.375,0.645833334
106,0.291666667,0.375,0.833333333,0.916666667,0.333333334,0.604166667
109,0.75,0.791666667,0.916666667,0.875,0.770833334,0.854166667
110,0.791666667,0.875,0.833333333,1,0.833333334,0.854166667
111,0.625,0.75,0.791666667,0.875,0.6875,0.770833334
112,0.625,0.833333333,0.875,0.958333333,0.729166667,0.854166667
113,0.583333333,0.875,1,0.875,0.729166667,0.9375
114,0.291666667,0.416666667,0.625,0.875,0.354166667,0.520833334
115,0.291666667,0.083333333,0.5,0.666666667,0.1875,0.291666667
116,0.458333333,0.583333333,0.916666667,0.791666667,0.520833333,0.75
118,0.791666667,0.958333333,0.958333333,1,0.875,0.958333333
119,0.916666667,0.958333333,0.958333333,1,0.9375,0.958333333
120,0.666666667,0.541666667,0.791666667,1,0.604166667,0.666666667
121,0.833333333,0.958333333,0.916666667,1,0.895833333,0.9375
122,0.291666667,0.416666667,0.666666667,0.833333333,0.354166667,0.541666667
123,0.458333333,0.916666667,0.875,0.916666667,0.6875,0.895833334
124,0.458333333,0.375,0.875,0.875,0.416666667,0.625
131,0.625,0.708333333,0.958333333,1,0.666666667,0.833333333
132,0.75,0.666666667,0.708333333,0.791666667,0.708333334,0.6875
133,0.833333333,0.958333333,1,1,0.895833333,0.979166667
134,0.625,0.75,0.875,1,0.6875,0.8125
135,0.791666667,0.75,0.916666667,0.958333333,0.770833334,0.833333334
136,0.541666667,0.541666667,0.75,0.916666667,0.541666667,0.645833334
137,0.583333333,0.875,1,1,0.729166667,0.9375
138,0.666666667,0.833333333,0.916666667,0.75,0.75,0.875
140,0.541666667,0.666666667,0.833333333,1,0.604166667,0.75
141,0.416666667,0.666666667,0.791666667,0.916666667,0.541666667,0.729166667
142,0.583333333,0.625,0.958333333,0.875,0.604166667,0.791666667
143,0.625,0.833333333,0.916666667,0.958333333,0.729166667,0.875
147,0.625,0.583333333,0.791666667,0.833333333,0.604166667,0.6875
151,0.583333333,0.541666667,0.916666667,0.916666667,0.5625,0.729166667
152,0.666666667,0.833333333,0.958333333,0.833333333,0.75,0.895833333
153,0.833333333,0.875,0.958333333,0.958333333,0.854166667,0.916666667
154,0.541666667,0.791666667,0.916666667,0.875,0.666666667,0.854166667
156,0.875,0.958333333,0.875,0.916666667,0.916666667,0.916666667
157,0.208333333,0.333333333,0.708333333,0.708333333,0.270833333,0.520833333
158,0.291666667,0.458333333,0.666666667,0.708333333,0.375,0.5625
159,0.375,0.708333333,0.708333333,0.833333333,0.541666667,0.708333333
160,0.458333333,0.458333333,0.916666667,0.875,0.458333333,0.6875
161,0.25,0.625,0.833333333,0.916666667,0.4375,0.729166667
162,0.625,0.75,0.916666667,0.958333333,0.6875,0.833333334
163,0.375,0.75,0.75,0.916666667,0.5625,0.75
164,0.708333333,0.791666667,1,0.958333333,0.75,0.895833334
172,0.458333333,0.583333333,0.833333333,0.916666667,0.520833333,0.708333333
173,0.583333333,0.625,0.833333333,0.833333333,0.604166667,0.729166667
174,0.458333333,0.583333333,0.5,0.375,0.520833333,0.541666667
175,0.458333333,0.416666667,0.708333333,0.958333333,0.4375,0.5625
177,0.375,0.166666667,0.666666667,0.75,0.270833334,0.416666667
178,0.583333333,0.75,0.916666667,0.708333333,0.666666667,0.833333334
181,0.625,0.625,0.833333333,0.916666667,0.625,0.729166667
182,0.75,0.666666667,0.958333333,0.875,0.708333334,0.8125
183,0.458333333,0.458333333,0.958333333,0.958333333,0.458333333,0.708333333
184,0.458333333,0.708333333,0.958333333,0.916666667,0.583333333,0.833333333
185,0.291666667,0.5,0.625,0.916666667,0.395833334,0.5625
186,0.625,0.541666667,0.875,0.916666667,0.583333334,0.708333334
187,0.666666667,0.416666667,0.791666667,0.791666667,0.541666667,0.604166667
189,0.791666667,0.666666667,0.916666667,1,0.729166667,0.791666667
190,0.458333333,0.666666667,0.916666667,0.916666667,0.5625,0.791666667
191,0.375,0.458333333,0.375,0.541666667,0.416666667,0.416666667
192,0.708333333,0.791666667,0.875,0.958333333,0.75,0.833333334
193,0.375,0.291666667,0.791666667,0.875,0.333333334,0.541666667
196,0.333333333,0.291666667,0.791666667,0.666666667,0.3125,0.541666667
197,0.166666667,0.25,0.625,0.75,0.208333334,0.4375
198,1,0.916666667,0.958333333,1,0.958333334,0.9375
199,0.666666667,0.625,0.916666667,1,0.645833334,0.770833334
202,0.583333333,0.666666667,0.708333333,0.833333333,0.625,0.6875
203,0.333333333,0.666666667,0.791666667,0.833333333,0.5,0.729166667
204,0.583333333,0.625,0.541666667,0.75,0.604166667,0.583333334
205,0.708333333,0.791666667,0.958333333,1,0.75,0.875
206,0.666666667,0.583333333,0.5,1,0.625,0.541666667
207,0.541666667,0.666666667,0.958333333,0.875,0.604166667,0.8125
208,0.75,0.833333333,0.916666667,0.958333333,0.791666667,0.875
