Subjects,Nov_B_01,Nov_B_02,Nov_B_03,Nov_B_04,Nov_B_05,Nov_B_06,Nov_B_07,Nov_B_08,Nov_B_09,Nov_B_10,Nov_B_11,Nov_B_12,Rep_B_01,Rep_B_02,Rep_B_03,Rep_B_04,Rep_B_05,Rep_B_06,Rep_B_07,Rep_B_08,Rep_B_09,Rep_B_10,Rep_B_11,Rep_B_12,RepAve,NovAve
3,1509.827273,1129.719167,1199.933333,1137.71,958.3583333,957.8325,899.5091667,981.8666667,867.5025,842.9690909,962.0841667,916.7125,1389.7,1207.5175,1073.066667,1043.210833,812.0883333,899.1183333,909.4425,849.1575,868.115,796.8316667,801.9508333,1003.830833,1030.335391,971.1691666
4,1253.313636,1022.604167,1151.551667,955.5536364,1034.375833,1096.66,923.2083333,1028.072727,842.6266667,942.5791667,904.6833333,1024.3275,1461.841667,1089.974167,1297.603333,1156.024167,1044.091667,999.7891667,1025.628182,859.2975,1075.730833,1006.5675,887.5266667,900.2263636,1014.963056,1067.025101
5,1351.653333,1182.8525,1320.5275,1062.0775,1051.834167,1047.315,1021.5925,1125.126667,1046.475833,1019.9975,1073.980833,1005.571667,1374.374545,1129.820833,1190.566667,1206.728333,1226.498333,1132.774167,944.9466667,958.84,1022.815,988.49,1016.456667,918.3008333,1109.08375,1092.551004
9,1448.090833,1541.435,1458.358333,1490.018182,1484.3775,1386.5225,1248.879167,1466.265,1248.910833,1469.579167,1269.9475,1082.049167,1145.223636,1159.266667,1189.830833,1089.894167,1305.876667,1149.170833,1217.529091,1321.120909,1135.8725,1113.314167,965.9458333,1082.436,1382.869432,1156.290109
10,1076.14,1180.495833,996.4091667,962.3016667,935.9572727,1081.16,925.7208333,1215.505455,1377.6525,1025.585,958.2866667,1066.121818,1122.803333,1130.593636,949.3708333,941.6833333,1117.200909,901.081,1124.605,1225.025,995.4316667,1081.006364,938.0825,814.8183333,1066.778018,1028.475159
11,1244,1070.378333,1000.993333,1044.615833,943.6158333,996.3075,1095.531667,1000.63,899.2066667,867.415,1000.236667,1045.814167,1105.3625,1200.623333,1032.5775,925.3325,945.3358333,840.5016667,866.295,807.3658333,883.4325,842.1172727,876.5383333,902.7508333,1017.395417,935.6860921
14,1361.730833,1113.8225,1320.718333,1013.5975,1016.673333,1137.561667,1202.1125,1376.479091,1068.588333,998.1125,1145.9325,1025.072727,1129.094545,1228.979091,1293.973333,1043.939167,1202.1125,1209.729091,1265.833333,1215.049167,1011.730833,1044.76,1145.315833,1093.6275,1148.366818,1157.012033
15,1302.260833,1158.905833,1416.970909,1004.247,1248.876364,1110.926,1095.649167,1155.1775,1010.431667,918.8290909,824.7490909,933.6572727,1113.894167,1156.797273,1103.557,1181.748333,1038.97,1132.610909,1197.608182,992.3475,1221.259167,910.7975,983.945,896.2425,1098.390061,1077.481461
16,960.1875,1011.183636,1081.105833,966.9458333,1123.186667,969.62,1000.259167,1057.216364,903.0183333,1154.9675,1045.989091,970.7033333,1024.108333,936.5775,857.7466667,878.5166667,869.8275,1037.875833,910.135,847.5883333,876.345,1038.8475,907.7036364,1138.32,1020.365271,943.6326641
18,1362.094167,1159.100909,1007.535455,1323.149167,1014.295,990.535,1166.759167,1048.235,1010.605,993.5654545,940.9541667,1100.820833,1251.830909,1273.65,1249.248333,1379.105833,1254.981667,1025.638333,1054.700833,995.3516667,937.5466667,964.7291667,1019.018333,1027.417273,1093.137443,1119.434918
19,1601.145,1459.2725,1623.096364,1249.587273,1336.24,1185.246667,1419.850909,1301.789,1262.486667,1286.040833,1295.355,1298.795455,1707.568182,1411.893333,1534.406667,1349.821667,1215.709167,1046.369091,1208.0675,1208.365455,1333.355455,1216.8125,1265.25,1050.923636,1359.908806,1295.711888
22,1171.849167,1141.580909,1124.893636,973.0966667,1116.5075,1212.349091,926.0972727,1027.206667,1141.4075,971.9466667,879.2125,1091.158333,1274.656667,1361.025,1202.24,1129.11,1032.785833,1079.096667,993.7533333,1003.060833,971.6208333,833.5072727,1033.075455,1179.314167,1064.775492,1091.103838
23,1664.135833,1134.746364,1124.938333,1177.3225,1276.855,1158.0325,1133.865,994.0483333,1025.443636,1002.803636,946.105,1004.334167,1334.65,930.3381818,965.99,1438.3675,1051.940833,813.8516667,907.8308333,923.6125,923.4116667,979.6616667,926.5591667,772.9916667,1136.885859,997.4338068
