Subjects,Random Block,Sequence Block
3,359.9853763,317.0523711
4,352.9938462,310.5178947
5,387.4413684,335.5075758
9,369.651,353.0312222
10,364.6982192,327.0571264
11,398.8551546,383.9117204
14,379.8921212,398.5750505
15,378.1508333,415.1323596
16,336.6073404,340.0105376
18,348.6134409,250.1105102
19,430.4001124,343.4184444
22,340.0239362,241.9953763
23,419.7796809,382.0449462
24,396.3910714,421.7317708
25,358.0890909,293.2448387
26,383.5513636,329.1017708
28,372.8091011,290.6243956
29,380.063871,383.1784043
31,360.8470526,357.0318182
37,380.156875,342.9346465
38,398.1916854,401.06
40,454.5545161,299.4299
43,389.9747253,343.9093258
44,404.5282418,314.2437234
45,367.8996739,254.8995876
46,396.63,361.3573196
47,375.5286022,355.6023711
48,376.3683871,304.0587
49,358.5356667,316.8793684
50,389.6123377,337.7546341
52,377.8386813,331.5735417
55,821.8836264,900.9128395
56,425.6968354,401.94375
57,373.1711458,320.350102
59,355.9313402,315.9717347
61,434.51,394.239011
62,397.485,369.5536264
63,363.3118947,321.023
64,411.5058242,318.1987629
65,376.81,461.7432979
66,391.2710465,380.8846939
67,341.7220213,294.1882653
68,381.3504348,338.2996809
69,404.6993103,521.3673684
71,332.6535052,288.7704396
72,434.5889362,379.4031915
73,434.2936458,332.2878351
76,378.4110753,297.9407071
77,440.3434694,389.4509375
78,412.4842857,303.8996842
81,444.6237805,443.0810976
82,338.5861957,323.7230526
83,374.9535789,266.0150505
84,478.81375,364.2280435
85,345.6162921,298.5940625
86,371.3836364,368.9983529
87,375.4855789,309.84
88,381.3660227,344.72
89,349.7216129,320.3935789
91,366.706383,327.2332323
92,445.9423684,347.4040698
93,493.466506,356.4073626
94,512.5448387,333.0557895
95,493.8572093,412.5856962
96,391.7795349,306.4277174
97,484.779875,421.0186111
99,404.0511364,335.6721978
100,400.3556522,351.4391304
102,316.211087,339.6332979
103,380.8627473,320.1168889
105,395.0338462,297.5329897
106,404.1178261,294.6568478
109,401.3123864,324.7023958
110,411.6689691,377.3308081
111,417.7730851,344.1146237
112,380.4902083,345.4419388
113,394.478,358.2176596
114,398.6570968,327.8455208
115,371.2217021,303.0959574
116,349.6305435,287.7159375
118,519.9327027,455.4526316
119,338.1628723,293.9566667
120,464.1813187,435.7852273
121,436.6469512,348.0827778
122,325.3380645,281.8005102
123,397.4864835,354.2140426
124,387.8004255,338.2586869
131,379.3267059,309.8618478
132,371.9931183,302.0588776
133,346.2145455,282.8508333
134,365.6297727,286.2656701
135,411.1528571,356.2693182
136,402.2897872,340.9403125
137,356.4145652,300.6240659
138,344.69,306.5485106
140,364.7476344,335.4942708
141,394.8106818,349.5726882
142,360.0404651,327.1159524
143,417.796,381.701
147,396.1358333,296.767449
151,388.28,393.0631818
152,415.3598837,349.3126596
153,326.5846939,277.130303
154,391.6566667,223.9397727
156,401.4264045,382.6508989
157,519.65375,395.7541573
158,430.2656383,374.4630769
159,419.4,384.9173864
160,369.4657955,281.43875
161,348.0155556,317.0029348
162,403.5379121,334.9196809
163,522.5060825,354.434898
164,418.1255914,346.4525275
172,541.9736458,506.9672165
173,355.2120482,323.3141667
174,385.6763095,330.8777273
175,470.9851316,420.8465823
177,370.0501087,325.8523711
178,371.4833684,315.5858586
181,469.9424138,393.0497778
182,411.2114493,350.7427632
183,317.9230682,277.7247727
184,365.9761957,283.2688172
185,405.2423529,357.8503448
186,415.9228571,316.1903529
187,310.2652941,255.9458242
189,388.9207609,354.467619
190,355.5973333,297.3521111
191,486.7379487,345.548
192,334.1510753,292.5065306
193,334.7495652,357.2565882
196,386.9924468,363.6951042
197,390.8584706,408.7903226
198,353.4735714,309.7904124
199,352.9495652,331.0602083
202,413.2304255,325.2032
203,403.6395402,363.9598936
204,360.6952222,356.0359794
205,366.5195122,326.4102222
206,399.4569565,375.2401064
207,356.332809,295.7909184
208,355.690625,318.508
210,465.9696667,469.6577174
211,398.4953763,299.0550515
214,401.0541111,312.6044086
215,403.9854545,394.0033333
216,401.6189474,366.0029
217,405.1975269,374.823125
218,372.6296552,303.8976667
219,396.1076289,316.3328283
220,382.7653763,336.0171134
221,412.8552747,381.9690805
222,365.03,245.0562821
223,366.1621591,269.7345745
224,380.1566327,335.1628571
225,353.5857895,307.2373118
226,343.3055952,309.7839326
227,364.2722826,307.0355319
228,489.0780723,414.2767857
229,426.9996471,382.2407143
230,395.6538298,304.4756842
231,374.5041758,370.3419101
263,507.82875,449.7468605
264,353.0527551,333.1872917
265,416.4194382,323.3781111
266,387.2481319,349.2043617
271,392.9771429,325.6147312
272,463.7507059,433.6767021
273,354.3822917,287.4465
274,384.0203261,342.8295699
275,346.9396471,323.8359574
289,406.0676087,347.5907292
290,607.6398925,360.1306452
293,387.5383146,338.4675556
294,398.6223656,351.0770707
295,352.9348276,305.6208889
300,443.2892391,392.6826506
301,371.5916484,297.0435052
302,383.7629032,330.4705495
303,404.0276087,321.6372727
306,535.6408989,452.6743678
309,359.9742222,324.8655056
310,369.3483146,307.0658242
311,328.2135294,317.6334483
313,404.1643333,315.8410526
314,356.1886813,290.0053261
316,376.1878261,332.8478125
317,352.8182979,313.7151064
319,394.0665591,282.9694505
320,361.8535165,318.5241304
321,401.37125,319.231
323,391.3696386,316.904086
326,406.8866234,308.339589
327,340.2496774,311.220102
328,417.7786957,391.9883333
329,350.0603158,250.0515464
330,379.3887356,382.6144681
331,424.4132558,372.9742697
332,399.7598824,347.5126667
333,384.4621739,325.0995455
334,351.1453333,347.6120238
335,364.564186,318.4323864
336,438.9473034,385.0762637
337,371.6798901,327.6607071
339,330.8149462,420.0783158
341,534.9748958,482.4430612
344,384.1038043,371.3430233
347,544.2226437,440.4642222
348,449.4422353,402.9960674
349,371.6740625,325.4453061
350,364.2592045,361.3974444
351,332.9861446,299.5817045
352,374.9636264,322.566
353,357.5793182,292.392234
354,353.2731461,296.2972527
355,389.7172826,332.471413
356,384.5140506,305.3668478
357,326.387093,210.2595604
358,348.3096512,318.2670455
359,362.1853763,290.857732
360,347.9752874,297.5393548
361,389.8132609,389.0596842
362,402.0788421,418.7041379
363,401.9765957,362.661413
364,368.5965957,339.4604211
376,320.3816327,322.4884848
377,401.4143617,379.1055789
379,344.7246429,283.4473684
380,470.4332967,438.6041758
381,527.8218293,430.486506
382,442.9179518,392.6567857
383,511.4317143,428.0914103
384,372.6478409,283.8213483
385,405.4496667,249.2861053
386,384.357732,325.1777551
387,435.4002198,343.7609375
388,455.00675,380.3918889
389,339.8233673,282.2652041
390,334.4341379,311.3785714
391,313.0096629,277.2112088
392,390.1402381,329.8553846
393,421.7296629,344.626087
394,373.3421176,323.6032184
395,403.7396703,345.8897849
396,361.2133333,326.4446914
397,429.8282432,337.4246154
400,395.4785556,384.1674444
401,430.245977,322.7331915
402,448.9161364,365.4901099
404,440.9919767,412.1772414
405,384.3823596,339.2915556
406,381.5386022,336.8729592
414,394.6845977,362.5854839
415,336.43875,306.2002222
416,331.1405556,320.1365556
422,397.2386316,373.087732
424,357.8477778,359.9739785
425,354.4621348,315.1545745
426,358.2402062,312.2522222
428,333.749697,300.6487879
429,487.6089024,401.6888636
431,438.8359574,359.1618478
432,339.278,311.0209574
433,364.1588095,323.1902439
434,412.123587,357.0478571
435,400.5721591,325.8083871
436,365.0743617,333.0221978
437,342.5511236,159.645102
440,484.2381053,414.2174468
441,348.8088889,380.3332584
442,385.0889362,352.9213043
448,370.3415385,330.7691398
449,376.3507955,338.7667391
451,431.3528,357.0936145
452,376.2721875,332.6010309
453,333.1254167,271.1344898
454,397.8768367,326.8745
455,355.1879545,316.32
456,416.923617,357.7113402
459,316.5164045,299.855914
460,346.8295699,361.2482222
462,381.515,283.103587
466,390.9819101,360.815914
474,405.7465957,286.2405556
482,402.9029348,344.2755208
483,325.732551,305.178
484,343.1502222,255.3176404
486,439.5996703,362.9733673
487,416.1055914,383.6001075
488,510.4889412,577.5243182
489,351.0398913,340.8485567
490,422.8863043,400.607234
491,458.9205882,320.4418391
494,401.9622727,305.6938298
495,617.5432051,316.4717857
496,396.4516471,380.7269565
497,392.7764368,328.3837113
498,395.8372222,375.3887368
499,341.2932653,285.6415464
500,354.4283516,298.2882292
501,326.0936264,292.0571875
502,349.5338776,308.6539796
504,465.3171429,643.953625
506,409.762875,442.5369663
507,384.0537805,345.4213793
508,401.6088172,326.8178723
509,359.2723158,296.4796907
510,398.6311494,329.2005747
511,342.5319565,292.6737363
512,405.7185714,341.6779167
513,424.9808696,426.8844944
514,382.4063333,340.0944681
520,347.9445977,300.25
Grand Total,393.5080896,341.6320383
