Subjects,VSL_Accuracy
3,0.666666667
4,0.541666667
5,0.666666667
9,0.541666667
10,0.791666667
11,0.708333333
14,0.541666667
15,0.541666667
16,0.625
18,0.5
19,0.416666667
22,0.708333333
23,0.458333333
24,0.708333333
25,0.583333333
26,0.833333333
28,0.875
29,0.583333333
31,0.625
37,0.458333333
38,0.666666667
40,0.625
43,0.583333333
44,0.625
45,0.75
46,0.541666667
47,0.541666667
48,0.5
49,0.416666667
50,0.375
52,0.708333333
55,0.458333333
56,0.5
57,0.625
59,0.458333333
61,0.5
62,0.5
63,0.625
64,0.541666667
65,0.375
66,0.625
67,0.833333333
68,0.5
69,0.666666667
71,0.416666667
72,0.75
73,0.666666667
76,0.625
77,0.75
78,0.708333333
81,0.625
82,1
83,0.541666667
84,0.583333333
85,0.541666667
86,0.625
87,0.5
88,0.375
89,0.625
91,0.625
92,0.291666667
93,0.666666667
94,0.291666667
95,0.583333333
96,0.5
97,0.833333333
99,0.416666667
100,0.666666667
102,0.5
103,0.916666667
105,0.708333333
106,0.666666667
109,0.458333333
110,0.833333333
111,0.583333333
112,0.583333333
113,0.75
114,0.833333333
115,0.875
116,0.708333333
118,0.583333333
119,0.708333333
120,0.416666667
121,0.458333333
122,0.583333333
123,0.458333333
124,0.666666667
131,0.791666667
132,0.666666667
133,0.625
134,0.583333333
135,0.833333333
136,0.75
137,0.5
138,0.666666667
140,0.5
141,0.541666667
142,0.708333333
143,1
147,0.541666667
151,0.583333333
152,0.5
153,0.458333333
154,0.458333333
156,0.5
157,0.5
158,0.541666667
159,0.583333333
160,0.708333333
161,0.708333333
162,0.666666667
163,0.75
164,0.791666667
172,0.375
173,0.708333333
174,0.625
175,0.75
177,0.583333333
178,0.666666667
181,0.583333333
182,0.458333333
183,0.666666667
184,0.541666667
185,0.625
186,0.583333333
187,0.5
189,0.625
190,0.375
191,0.666666667
192,0.708333333
193,0.541666667
196,0.458333333
197,0.708333333
198,1
199,0.5
202,0.75
203,0.583333333
204,0.5
205,0.5
206,0.75
207,0.541666667
208,0.833333333
210,0.708333333
211,0.5
214,0.541666667
215,0.541666667
216,0.416666667
217,0.583333333
218,0.708333333
219,0.666666667
220,0.416666667
221,0.583333333
222,0.625
223,0.666666667
224,0.416666667
225,0.583333333
226,0.416666667
227,0.625
228,0.666666667
229,0.5
230,0.666666667
231,0.666666667
263,0.5
264,0.666666667
265,0.458333333
266,0.541666667
271,0.541666667
272,0.541666667
273,0.541666667
274,0.625
275,0.625
289,0.75
290,0.875
293,0.375
294,0.791666667
295,0.625
300,0.791666667
301,0.666666667
302,0.75
303,0.625
306,0.583333333
309,0.666666667
310,0.5
311,0.583333333
313,0.583333333
314,0.625
316,0.958333333
317,0.458333333
319,0.5
320,0.583333333
321,0.541666667
323,0.583333333
326,0.666666667
327,0.583333333
328,0.625
329,0.458333333
330,0.666666667
331,0.583333333
332,0.791666667
333,0.458333333
334,0.458333333
335,0.458333333
336,0.708333333
337,0.458333333
339,0.5
341,0.458333333
344,0.541666667
347,0.625
348,0.75
349,0.916666667
350,0.5
351,0.75
352,0.541666667
353,0.625
354,0.5
355,0.708333333
356,0.791666667
357,0.458333333
358,0.458333333
359,0.541666667
360,0.541666667
361,0.666666667
362,0.708333333
363,0.583333333
364,0.75
376,0.375
377,0.375
379,0.458333333
380,0.458333333
381,0.583333333
382,0.333333333
383,0.583333333
384,0.583333333
385,0.5
386,0.625
387,0.541666667
388,0.5
389,0.708333333
390,0.416666667
391,0.625
392,0.5
393,0.75
394,0.458333333
395,0.541666667
396,0.541666667
397,0.625
400,0.458333333
401,0.708333333
402,0.541666667
404,0.5
405,0.666666667
406,0.458333333
414,0.5
415,0.541666667
416,0.458333333
422,0.458333333
424,0.541666667
425,0.708333333
426,0.625
428,0.583333333
429,0.708333333
431,0.583333333
432,0.708333333
433,0.625
434,0.416666667
435,0.583333333
436,0.375
437,0.333333333
440,0.458333333
441,0.75
442,0.5
448,0.583333333
449,0.75
451,0.666666667
452,0.708333333
453,0.458333333
454,0.666666667
455,0.333333333
456,0.833333333
459,0.875
460,0.625
462,0.583333333
466,0.541666667
474,0.625
482,0.541666667
483,0.541666667
484,0.541666667
486,0.75
487,0.708333333
488,0.5
489,0.5
490,0.458333333
491,0.583333333
494,0.708333333
495,0.666666667
496,0.458333333
497,0.5
498,0.666666667
499,0.708333333
500,0.583333333
501,0.583333333
502,0.541666667
504,0.541666667
506,0.458333333
507,0.416666667
508,0.791666667
509,0.666666667
510,0.75
511,0.541666667
512,0.708333333
513,0.541666667
514,0.875
520,0.541666667
(blank),
Grand Total,0.597044728
